question_id,context_precision,context_recall,faithfulness,answer_relevancy,reasoning
86,0.4,0.3,0.8,0.8,正確回答規章未說明
87,0.6,0.6,0.9,0.9,正確回答未限制品牌
88,0.5,0.5,0.8,0.8,正確回答無按摩服務
89,0.3,0.3,0.8,0.7,正確回答規章未說明
90,0.9,0.9,1.0,1.0,正確回答彈性發放
91,0.4,0.3,0.3,0.4,規章未禁止但回答不能
92,0.5,0.5,0.7,0.6,方向合理
93,0.5,0.5,0.9,0.9,正確回答無ESOP
94,0.4,0.4,0.8,0.7,正確回答無規定
95,0.3,0.3,0.7,0.6,正確但引用不相關
96,0.6,0.6,0.8,0.8,正確回答無語言津貼
97,0.5,0.5,0.8,0.8,正確回答規章未說明
98,0.8,0.8,0.9,0.9,正確回答需繳回
99,0.3,0.2,0.5,0.4,不相關
100,0.5,0.4,0.5,0.4,未區分職災
